date,Labor2ppAUS,Pollster
6/07/07,59,Morgan
7/07/07,56,Newspoll
13/07/07,57.5,Morgan
14/07/07,58,Nielsen
21/07/07,55,Newspoll
27/07/07,59,Morgan
30/07/07,54,Galaxy
3/08/07,55,Morgan
4/08/07,56,Newspoll
10/08/07,55,Nielsen
10/08/07,58.5,Morgan
17/08/07,58.5,Morgan
18/08/07,55,Newspoll
23/08/07,60,Morgan
27/08/07,57,Galaxy
31/08/07,54.5,Morgan
1/09/07,59,Newspoll
7/09/07,60,Morgan
9/09/07,57,Nielsen
14/09/07,59,Morgan
15/09/07,55,Newspoll
21/09/07,56.5,Morgan
24/09/07,56,Galaxy
28/09/07,60.5,Morgan
29/09/07,56,Newspoll
5/10/07,61,Morgan
7/10/07,56,Nielsen
9/10/07,59,Morgan
12/10/07,57.5,Morgan
13/10/07,56,Newspoll
18/10/07,53,Galaxy
19/10/07,54,Nielsen
19/10/07,55.5,Morgan
20/10/07,58,Newspoll
26/10/07,56,Morgan
27/10/07,54,Newspoll
1/11/07,55,Nielsen
2/11/07,57.5,Morgan
3/11/07,53,Newspoll
5/11/07,54,Galaxy
9/11/07,56,Morgan
10/11/07,55,Newspoll
15/11/07,54,Nielsen
16/11/07,56.5,Morgan
17/11/07,54,Newspoll
18/11/07,56,Morgan
21/11/07,52,Newspoll
22/11/07,57,Nielsen
22/11/07,52,Galaxy
23/11/07,54.5,Morgan
10/12/07,58.5,Morgan
14/12/07,60.5,Morgan
18/01/08,61.5,Morgan
19/01/08,58,Newspoll
1/02/08,59,Morgan
15/02/08,62.5,Morgan
16/02/08,57,Newspoll
29/02/08,64.5,Morgan
1/03/08,63,Newspoll
14/03/08,61,Morgan
15/03/08,59,Newspoll
28/03/08,63.5,Morgan
4/04/08,60.5,Morgan
5/04/08,59,Newspoll
11/04/08,63.5,Morgan
18/04/08,62.5,Morgan
19/04/08,61,Newspoll
2/05/08,61.5,Morgan
3/05/08,57,Newspoll
13/05/08,58,Morgan
17/05/08,57,Newspoll
20/05/08,57,Nielsen
23/05/08,60.5,Morgan
30/05/08,61,Morgan
31/05/08,57,Newspoll
6/06/08,63,Morgan
13/06/08,58.5,Morgan
14/06/08,59,Newspoll
16/06/08,56,Nielsen
27/06/08,61,Morgan
28/06/08,55,Newspoll
11/07/08,59,Morgan
12/07/08,55,Newspoll
21/07/08,54,Nielsen
21/07/08,60,Morgan
25/07/08,55,Morgan
26/07/08,57,Newspoll
5/08/08,58,Essential
8/08/08,55,Morgan
9/08/08,57,Newspoll
18/08/08,55,Nielsen
22/08/08,57,Morgan
23/08/08,56,Newspoll
1/09/08,59,Essential
5/09/08,58,Morgan
6/09/08,56,Newspoll
19/09/08,55.5,Morgan
20/09/08,55,Newspoll
21/09/08,52,Nielsen
23/09/08,57,Essential
3/10/08,57.5,Morgan
8/10/08,58,Essential
11/10/08,55,Newspoll
17/10/08,57.5,Morgan
20/10/08,56,Nielsen
25/10/08,54,Newspoll
31/10/08,56.5,Morgan
3/11/08,61,Essential
8/11/08,55,Newspoll
14/11/08,58.5,Morgan
17/11/08,55,Nielsen
17/11/08,55,Galaxy
22/11/08,55,Newspoll
28/11/08,59.5,Morgan
1/12/08,58,Essential
6/12/08,59,Newspoll
12/12/08,59.5,Morgan
15/12/08,58,Essential
24/12/08,60,Morgan
13/01/09,59,Essential
16/01/09,60,Morgan
17/01/09,54,Newspoll
27/01/09,60,Essential
30/01/09,59.5,Morgan
3/02/09,61,Essential
6/02/09,56,Morgan
7/02/09,58,Newspoll
13/02/09,60,Morgan
16/02/09,61,Essential
21/02/09,58,Newspoll
22/02/09,59.5,Morgan
2/03/09,62,Essential
6/03/09,61.5,Morgan
7/03/09,56,Newspoll
13/03/09,60.5,Morgan
17/03/09,58,Essential
20/03/09,57,Morgan
21/03/09,56,Newspoll
30/03/09,58,Nielsen
3/04/09,61,Morgan
4/04/09,58,Newspoll
14/04/09,61,Essential
17/04/09,61,Morgan
18/04/09,58,Newspoll
28/04/09,58,Essential
2/05/09,55,Newspoll
2/05/09,59,Morgan
11/05/09,61,Essential
15/05/09,60,Morgan
16/05/09,56,Newspoll
18/05/09,53,Nielsen
25/05/09,59,Essential
30/05/09,55,Newspoll
5/06/09,58,Morgan
9/06/09,56,Essential
13/06/09,53,Newspoll
14/06/09,57.5,Morgan
21/06/09,57,Morgan
23/06/09,57,Essential
26/06/09,55,Morgan
27/06/09,56,Newspoll
29/06/09,58,Nielsen
29/06/09,56,Galaxy
10/07/09,58,Morgan
11/07/09,55,Newspoll
20/07/09,56,Essential
25/07/09,57,Newspoll
25/07/09,57.5,Morgan
3/08/09,59,Essential
8/08/09,57,Newspoll
8/08/09,60.5,Morgan
17/08/09,56,Nielsen
21/08/09,58,Morgan
22/08/09,55,Newspoll
31/08/09,60,Essential
5/09/09,55,Newspoll
5/09/09,61,Morgan
13/09/09,55,Nielsen
19/09/09,55,Newspoll
21/09/09,62,Morgan
28/09/09,59,Essential
29/09/09,58,Newspoll
2/10/09,59.5,Morgan
10/10/09,58,Newspoll
12/10/09,57,Nielsen
17/10/09,59,Newspoll
17/10/09,60,Morgan
27/10/09,59,Essential
31/10/09,52,Newspoll
31/10/09,60.5,Morgan
6/11/09,61,Morgan
9/11/09,56,Nielsen
13/11/09,59,Morgan
14/11/09,56,Newspoll
20/11/09,56.5,Morgan
24/11/09,55,Essential
27/11/09,58.5,Morgan
28/11/09,57,Newspoll
30/11/09,56,Nielsen
4/12/09,53,Morgan
5/12/09,56,Newspoll
11/12/09,53,Morgan
14/12/09,58,Essential
18/12/09,59,Morgan
8/01/10,57,Morgan
15/01/10,54.5,Morgan
16/01/10,54,Newspoll
21/01/10,58.5,Morgan
30/01/10,52,Newspoll
5/02/10,56.5,Morgan
8/02/10,54,Nielsen
13/02/10,53,Newspoll
14/02/10,53.5,Morgan
19/02/10,57.5,Morgan
22/02/10,54,Essential
26/02/10,56.5,Morgan
27/02/10,52,Newspoll
