PollEndDate,Pollster,LNP,ALP,GRN,PUP,FFP,DEM,PHON,OTH
22/04/2013,Essential,47,34,9,#N/A,#N/A,#N/A,#N/A,9
21/04/2013,Newspoll,46,32,10,#N/A,#N/A,#N/A,#N/A,12
15/04/2013,Essential,48,34,9,#N/A,#N/A,#N/A,#N/A,9
14/04/2013,Morgan,47.5,32,10.5,#N/A,#N/A,#N/A,#N/A,10
14/04/2013,Nielsen,49,29,12,#N/A,1,#N/A,#N/A,10
12/04/2013,ReachTEL,49.8,31.3,10.2,#N/A,#N/A,#N/A,#N/A,8.8
11/04/2013,Galaxy,47,33,12,#N/A,#N/A,#N/A,#N/A,8
8/04/2013,Essential,49,32,9,#N/A,#N/A,#N/A,#N/A,9
7/04/2013,Newspoll,48,32,10,#N/A,#N/A,#N/A,#N/A,12
7/04/2013,Morgan,46.5,31,10,#N/A,#N/A,#N/A,#N/A,12.5
2/04/2013,Essential,49,31,11,#N/A,#N/A,#N/A,#N/A,9
1/04/2013,Morgan,49,30,11,#N/A,#N/A,#N/A,#N/A,10
25/03/2013,Essential,47,33,11,#N/A,#N/A,#N/A,#N/A,9
24/03/2013,Newspoll,50,30,10,#N/A,#N/A,#N/A,#N/A,10
24/03/2013,Morgan,46.5,30.5,10.5,#N/A,#N/A,#N/A,#N/A,12.5
23/03/2013,Galaxy,47,32,12,#N/A,#N/A,#N/A,#N/A,9
18/03/2013,Essential,47,35,9,#N/A,#N/A,#N/A,#N/A,8
17/03/2013,Morgan,46,33,10.5,#N/A,#N/A,#N/A,#N/A,10.5
16/03/2013,Nielsen,47,31,10,#N/A,2,#N/A,#N/A,10
11/03/2013,Essential,48,34,9,#N/A,#N/A,#N/A,#N/A,9
10/03/2013,Newspoll,44,34,11,#N/A,#N/A,#N/A,#N/A,11
10/03/2013,Morgan,47,31.5,11,#N/A,#N/A,#N/A,#N/A,10.5
7/03/2013,Galaxy,48,32,11,#N/A,#N/A,#N/A,#N/A,9
4/03/2013,Essential,49,32,10,#N/A,#N/A,#N/A,#N/A,8
3/03/2013,Morgan,45,33,10.5,#N/A,#N/A,#N/A,#N/A,11.5
25/02/2013,Essential,49,34,9,#N/A,#N/A,#N/A,#N/A,8
24/02/2013,Newspoll,47,31,11,#N/A,#N/A,#N/A,#N/A,11
24/02/2013,Morgan,44,33.5,10,#N/A,#N/A,#N/A,#N/A,12.5
18/02/2013,Essential,47,35,9,#N/A,#N/A,#N/A,#N/A,8
16/02/2013,Nielsen,47,30,11,#N/A,2,#N/A,#N/A,10
11/02/2013,Essential,48,34,9,#N/A,#N/A,#N/A,#N/A,9
10/02/2013,Morgan,45,33.5,9,#N/A,#N/A,#N/A,#N/A,12.5
5/02/2013,Essential,48,34,10,#N/A,#N/A,#N/A,#N/A,8
3/02/2013,Newspoll,48,32,9,#N/A,#N/A,#N/A,#N/A,11
3/02/2013,Morgan,42.5,38.5,8.5,#N/A,#N/A,#N/A,#N/A,10.5
3/02/2013,Galaxy,48,35,10,#N/A,#N/A,#N/A,#N/A,7
29/01/2013,Essential,48,35,10,#N/A,#N/A,#N/A,#N/A,7
27/01/2013,Morgan,39,36,12,#N/A,#N/A,#N/A,#N/A,13
21/01/2013,Essential,48,36,9,#N/A,#N/A,#N/A,#N/A,8
14/01/2013,Essential,48,36,8,#N/A,#N/A,#N/A,#N/A,8
13/01/2013,Newspoll,44,38,9,#N/A,#N/A,#N/A,#N/A,9
13/01/2013,Morgan,41.5,36.5,10.5,#N/A,#N/A,#N/A,#N/A,11.5
17/12/2012,Essential,48,36,8,#N/A,#N/A,#N/A,#N/A,8
16/12/2012,Morgan,37.5,40,12,#N/A,#N/A,#N/A,#N/A,10.5
15/12/2012,Nielsen,43,35,10,#N/A,2,#N/A,#N/A,10
10/12/2012,Essential,48,36,8,#N/A,#N/A,#N/A,#N/A,8
9/12/2012,Newspoll,46,32,11,#N/A,#N/A,#N/A,#N/A,11
3/12/2012,Essential,47,37,9,#N/A,#N/A,#N/A,#N/A,7
2/12/2012,Morgan,40.5,36,10.5,#N/A,#N/A,#N/A,#N/A,13
30/11/2012,Galaxy,48,34,11,#N/A,#N/A,#N/A,#N/A,7
29/11/2012,Morgan,44.5,36.5,8.5,#N/A,#N/A,#N/A,#N/A,10.5
26/11/2012,Essential,47,36,10,#N/A,#N/A,#N/A,#N/A,8
25/11/2012,Newspoll,43,36,11,#N/A,#N/A,#N/A,#N/A,10
19/11/2012,Essential,46,36,10,#N/A,#N/A,#N/A,#N/A,9
18/11/2012,Morgan,38.5,36.5,11.5,#N/A,#N/A,#N/A,#N/A,13.5
17/11/2012,Nielsen,45,34,12,#N/A,2,#N/A,#N/A,8
12/11/2012,Essential,45,37,9,#N/A,#N/A,#N/A,#N/A,8
11/11/2012,Newspoll,43,36,10,#N/A,#N/A,#N/A,#N/A,11
7/11/2012,Essential,46,37,9,#N/A,#N/A,#N/A,#N/A,8
4/11/2012,Morgan,43,35.5,10,#N/A,#N/A,#N/A,#N/A,11.5
4/11/2012,Galaxy,47,35,11,#N/A,#N/A,#N/A,#N/A,7
29/10/2012,Essential,48,36,9,#N/A,#N/A,#N/A,#N/A,7
28/10/2012,Newspoll,41,36,10,#N/A,#N/A,#N/A,#N/A,13
22/10/2012,Essential,47,36,9,#N/A,#N/A,#N/A,#N/A,7
21/10/2012,Morgan,38.5,37.5,12.5,#N/A,#N/A,#N/A,#N/A,11.5
20/10/2012,Nielsen,43,34,11,#N/A,2,#N/A,#N/A,10
15/10/2012,Essential,47,36,9,#N/A,#N/A,#N/A,#N/A,8
10/10/2012,Essential,47,36,9,#N/A,#N/A,#N/A,#N/A,7
8/10/2012,Essential,47,37,9,#N/A,#N/A,#N/A,#N/A,7
7/10/2012,Newspoll,45,33,10,#N/A,#N/A,#N/A,#N/A,12
7/10/2012,Morgan,43,37,10.5,#N/A,#N/A,#N/A,#N/A,9.5
24/09/2012,Essential,48,35,9,#N/A,#N/A,#N/A,#N/A,9
23/09/2012,Morgan,41.5,37.5,10,#N/A,#N/A,#N/A,#N/A,11
20/09/2012,Morgan,47,39.5,8,#N/A,#N/A,#N/A,#N/A,5.5
17/09/2012,Essential,48,34,9,#N/A,#N/A,#N/A,#N/A,9
16/09/2012,Newspoll,41,36,12,#N/A,#N/A,#N/A,#N/A,11
16/09/2012,Morgan,40.5,35,12,#N/A,#N/A,#N/A,#N/A,12.5
15/09/2012,Nielsen,45,34,10,#N/A,2,#N/A,#N/A,9
10/09/2012,Essential,47,34,9,#N/A,#N/A,#N/A,#N/A,9
3/09/2012,Essential,47,34,9,#N/A,#N/A,#N/A,#N/A,9
2/09/2012,Newspoll,46,33,8,#N/A,#N/A,#N/A,#N/A,13
2/09/2012,Morgan,41.5,34.5,11.5,#N/A,#N/A,#N/A,#N/A,12.5
27/08/2012,Essential,49,32,10,#N/A,#N/A,#N/A,#N/A,9
25/08/2012,Nielsen,45,32,11,#N/A,2,#N/A,#N/A,11
20/08/2012,Essential,49,32,10,#N/A,#N/A,#N/A,#N/A,9
19/08/2012,Newspoll,45,35,11,#N/A,#N/A,#N/A,#N/A,9
19/08/2012,Morgan,44,34.5,10,#N/A,#N/A,#N/A,#N/A,11.5
13/08/2012,Essential,49,32,10,#N/A,#N/A,#N/A,#N/A,8
6/08/2012,Essential,49,33,10,#N/A,#N/A,#N/A,#N/A,8
5/08/2012,Newspoll,45,33,10,#N/A,#N/A,#N/A,#N/A,12
5/08/2012,Morgan,43.5,32,11.5,#N/A,#N/A,#N/A,#N/A,13
30/07/2012,Essential,49,33,10,#N/A,#N/A,#N/A,#N/A,8
28/07/2012,Nielsen,47,30,12,#N/A,2,#N/A,#N/A,9
23/07/2012,Essential,49,33,10,#N/A,#N/A,#N/A,#N/A,9
22/07/2012,Newspoll,46,28,11,#N/A,#N/A,#N/A,#N/A,15
22/07/2012,Morgan,43,31.5,12,#N/A,#N/A,#N/A,#N/A,13.5
16/07/2012,Essential,49,31,10,#N/A,#N/A,#N/A,#N/A,9
9/07/2012,Essential,49,31,11,#N/A,#N/A,#N/A,#N/A,9
8/07/2012,Newspoll,48,31,11,#N/A,#N/A,#N/A,#N/A,10
8/07/2012,Morgan,43,29.5,14.5,#N/A,#N/A,#N/A,#N/A,13
2/07/2012,Essential,48,32,10,#N/A,#N/A,#N/A,#N/A,9
30/06/2012,Nielsen,48,28,12,#N/A,2,#N/A,#N/A,9
25/06/2012,Essential,49,33,10,#N/A,#N/A,#N/A,#N/A,8
24/06/2012,Newspoll,46,30,12,#N/A,#N/A,#N/A,#N/A,12
24/06/2012,Morgan,45.5,32.5,10,#N/A,#N/A,#N/A,#N/A,12
18/06/2012,Essential,49,33,10,#N/A,#N/A,#N/A,#N/A,8
17/06/2012,Galaxy,49,31,12,#N/A,#N/A,#N/A,#N/A,8
12/06/2012,Essential,49,32,10,#N/A,#N/A,#N/A,#N/A,9
10/06/2012,Newspoll,44,31,14,#N/A,#N/A,#N/A,#N/A,11
10/06/2012,Morgan,42.5,33,12.5,#N/A,#N/A,#N/A,#N/A,12
4/06/2012,Essential,50,33,10,#N/A,#N/A,#N/A,#N/A,7
3/06/2012,Morgan,45,32.5,10.5,#N/A,#N/A,#N/A,#N/A,12
2/06/2012,Nielsen,48,26,14,#N/A,2,#N/A,#N/A,10
28/05/2012,Essential,50,33,10,#N/A,#N/A,#N/A,#N/A,7
27/05/2012,Newspoll,46,32,12,#N/A,#N/A,#N/A,#N/A,10
27/05/2012,Morgan,49,27.5,13,#N/A,#N/A,#N/A,#N/A,10.5
21/05/2012,Essential,49,33,10,#N/A,#N/A,#N/A,#N/A,8
20/05/2012,Morgan,45.5,32,10.5,#N/A,#N/A,#N/A,#N/A,12
14/05/2012,Essential,50,30,11,#N/A,#N/A,#N/A,#N/A,9
13/05/2012,Newspoll,45,30,12,#N/A,#N/A,#N/A,#N/A,13
13/05/2012,Morgan,46,30.5,12,#N/A,#N/A,#N/A,#N/A,11.5
10/05/2012,Nielsen,49,28,12,#N/A,3,#N/A,#N/A,9
10/05/2012,Morgan,50.5,29,10,#N/A,#N/A,#N/A,#N/A,10.5
7/05/2012,Essential,50,29,11,#N/A,#N/A,#N/A,#N/A,9
6/05/2012,Morgan,45.5,29.5,12,#N/A,#N/A,#N/A,#N/A,13
30/04/2012,Essential,50,31,11,#N/A,#N/A,#N/A,#N/A,9
29/04/2012,Newspoll,51,27,11,#N/A,#N/A,#N/A,#N/A,11
29/04/2012,Galaxy,49,30,13,#N/A,#N/A,#N/A,#N/A,8
23/04/2012,Essential,48,31,11,#N/A,#N/A,#N/A,#N/A,9
22/04/2012,Morgan,47.5,30,12,#N/A,#N/A,#N/A,#N/A,10.5
19/04/2012,Morgan,47.5,30,11.5,#N/A,#N/A,#N/A,#N/A,11
16/04/2012,Essential,48,31,11,#N/A,#N/A,#N/A,#N/A,9
15/04/2012,Newspoll,48,29,12,#N/A,#N/A,#N/A,#N/A,11
15/04/2012,Morgan,46.5,31,12.5,#N/A,#N/A,#N/A,#N/A,10
10/04/2012,Essential,50,31,11,#N/A,#N/A,#N/A,#N/A,9
2/04/2012,Essential,48,33,11,#N/A,#N/A,#N/A,#N/A,8
1/04/2012,Morgan,44.5,32,13,#N/A,#N/A,#N/A,#N/A,10.5
31/03/2012,Nielsen,47,27,13,#N/A,2,#N/A,#N/A,10
26/03/2012,Essential,48,34,10,#N/A,#N/A,#N/A,#N/A,9
25/03/2012,Newspoll,47,28,11,#N/A,#N/A,#N/A,#N/A,14
25/03/2012,Morgan,45,36.5,12.5,#N/A,#N/A,#N/A,#N/A,6
19/03/2012,Essential,48,32,11,#N/A,#N/A,#N/A,#N/A,9
18/03/2012,Morgan,45.5,37,10.5,#N/A,#N/A,#N/A,#N/A,7
12/03/2012,Essential,49,31,10,#N/A,#N/A,#N/A,#N/A,10
11/03/2012,Newspoll,43,31,12,#N/A,#N/A,#N/A,#N/A,14
5/03/2012,Essential,50,32,10,#N/A,#N/A,#N/A,#N/A,9
4/03/2012,Morgan,43.5,39,10,#N/A,#N/A,#N/A,#N/A,7.5
27/02/2012,Essential,49,32,11,#N/A,#N/A,#N/A,#N/A,8
26/02/2012,Newspoll,45,35,11,#N/A,#N/A,#N/A,#N/A,9
26/02/2012,Morgan,42.5,37.5,11,#N/A,#N/A,#N/A,#N/A,9
24/02/2012,Galaxy,47,34,12,#N/A,#N/A,#N/A,#N/A,7
23/02/2012,Nielsen,44,34,12,#N/A,2,#N/A,#N/A,9
20/02/2012,Essential,48,33,11,#N/A,#N/A,#N/A,#N/A,9
19/02/2012,Morgan,41.5,37,14.5,#N/A,#N/A,#N/A,#N/A,7
13/02/2012,Essential,47,34,10,#N/A,#N/A,#N/A,#N/A,9
12/02/2012,Newspoll,46,32,11,#N/A,#N/A,#N/A,#N/A,11
8/02/2012,Morgan,46.5,31,12,#N/A,#N/A,#N/A,#N/A,10.5
6/02/2012,Essential,47,33,11,#N/A,#N/A,#N/A,#N/A,9
5/02/2012,Morgan,45.5,38.5,9.5,#N/A,#N/A,#N/A,#N/A,6.5
2/02/2012,Nielsen,45,33,13,#N/A,1,#N/A,#N/A,8
30/01/2012,Essential,47,34,10,#N/A,#N/A,#N/A,#N/A,8
29/01/2012,Newspoll,45,30,12,#N/A,#N/A,#N/A,#N/A,13
29/01/2012,Morgan,41.5,39.5,10,#N/A,#N/A,#N/A,#N/A,9
28/01/2012,Galaxy,48,34,12,#N/A,#N/A,#N/A,#N/A,6
23/01/2012,Essential,48,35,10,#N/A,#N/A,#N/A,#N/A,7
22/01/2012,Morgan,42.5,38.5,12,#N/A,#N/A,#N/A,#N/A,7
18/01/2012,Morgan,46.5,35.5,9,#N/A,#N/A,#N/A,#N/A,9
16/01/2012,Essential,48,35,9,#N/A,#N/A,#N/A,#N/A,8
8/01/2012,Morgan,45,37,10.5,#N/A,#N/A,#N/A,#N/A,7.5
19/12/2011,Essential,47,35,9,#N/A,#N/A,#N/A,#N/A,8
18/12/2011,Morgan,43,36.5,13,#N/A,#N/A,#N/A,#N/A,7.5
12/12/2011,Essential,48,34,10,#N/A,#N/A,#N/A,#N/A,9
10/12/2011,Nielsen,49,29,11,#N/A,2,#N/A,#N/A,9
5/12/2011,Essential,47,34,10,#N/A,#N/A,#N/A,#N/A,9
4/12/2011,Newspoll,44,31,13,#N/A,#N/A,#N/A,#N/A,12
4/12/2011,Morgan,46.5,36.5,10,#N/A,#N/A,#N/A,#N/A,7
28/11/2011,Essential,48,34,11,#N/A,#N/A,#N/A,#N/A,8
21/11/2011,Essential,48,34,10,#N/A,#N/A,#N/A,#N/A,7
