2007 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:05 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0],,,,,,,,,,,,,,,,,,,
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
SA,IND,Independent,11,4,5,0,5560,0.68,523,0.89,19,1,424,0.78,418,0.82,6944,0.7,-1.34
TAS,ALP,Australian Labor Party,1,5,5,5,118120,43.3,5915,39.48,179,40.59,7707,38.56,7156,42.3,139077,42.77,-1.81
TAS,LP,Liberal,2,5,5,0,104385,38.26,5461,36.45,137,31.07,7455,37.3,6842,40.44,124280,38.22,-3.76
TAS,GRN,The Greens,3,5,5,0,35285,12.93,2595,17.32,86,19.5,3788,18.95,2139,12.64,43893,13.5,3.62
TAS,FFP,Family First,4,5,5,0,6140,2.25,417,2.78,17,3.85,460,2.3,322,1.9,7356,2.26,-0.58
TAS,CEC,Citizens Electoral Council,5,5,5,0,1551,0.57,121,0.81,7,1.59,102,0.51,75,0.44,1856,0.57,0.2
TAS,SAL,Socialist Alliance,6,2,2,0,663,0.24,76,0.51,4,0.91,78,0.39,38,0.22,859,0.26,-0.09
TAS,LDP,Liberty and Democracy Party,7,2,2,0,519,0.19,23,0.15,2,0.45,35,0.18,27,0.16,606,0.19,0.19
TAS,IND,Independent,8,2,2,0,6146,2.25,376,2.51,9,2.04,364,1.82,320,1.89,7215,2.22,2.22
ACT,ALP,Australian Labor Party,1,2,2,2,89112,51.6,1386,46.32,234,49.16,19115,50.87,4397,44.62,114244,51.1,0.85
ACT,LP,Liberal,2,2,2,0,57052,33.04,873,29.18,147,30.88,12128,32.28,4095,41.56,74295,33.23,-2
ACT,DEM,Democrats,3,1,1,0,1861,1.08,36,1.2,8,1.68,496,1.32,108,1.1,2509,1.12,-1.28
ACT,GRN,The Greens,4,2,2,0,22344,12.94,621,20.76,73,15.34,5299,14.1,1087,11.03,29424,13.16,2.4
ACT,SAL,Socialist Alliance,5,1,1,0,429,0.25,9,0.3,4,0.84,82,0.22,15,0.15,539,0.24,-0.75
ACT,CEC,Citizens Electoral Council,6,2,2,0,1004,0.58,37,1.24,4,0.84,196,0.52,54,0.55,1295,0.58,0.21
ACT,IND,Independent,7,1,1,0,883,0.51,30,1,6,1.26,258,0.69,98,0.99,1275,0.57,0.57
NT,ALP,Australian Labor Party,1,2,2,2,37824,49.01,855,46.88,132,61.97,6983,44.77,1000,29.42,46794,47.65,3.38
NT,CLP,CLP - The Territory Party,2,2,2,0,30924,40.07,688,37.72,53,24.88,6651,42.64,1982,58.31,40298,41.03,-2.81
NT,GRN,The Greens,3,2,2,0,6109,7.92,189,10.36,12,5.63,1316,8.44,277,8.15,7903,8.05,1.84
NT,CEC,Citizens Electoral Council,4,1,1,0,175,0.23,3,0.16,1,0.47,48,0.31,18,0.53,245,0.25,-0.01
NT,LDP,Liberty and Democracy Party,5,1,1,0,252,0.33,9,0.49,2,0.94,67,0.43,28,0.82,358,0.36,0.36
NT,IND,Independent,6,2,3,0,1894,2.45,80,4.39,13,6.1,534,3.42,94,2.77,2615,2.66,0.7

